Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,class
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,10.0,10.0,2.0,1,1,Sale contract,No furnishings,7.8,Hồ Chí Minh,Quận 8,0.0
"Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",99.4,4.0,5.0,2.0,1,2,Have certificate,Full,9.5,Hà Nội,Nam Từ Liêm,0.0
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,4.4,5.0,5.0,1,1,Have certificate,Basic,4.95,Hà Nội,Hà Đông,0.0
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,2.0,4.0,3,3,Sale contract,Full,2.9,Hà Nội,Hà Đông,1.0
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,3.0,4,5,Have certificate,Basic,6.5,Hồ Chí Minh,Quận 9,0.0
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",85.0,5.0,8.0,4.0,4,6,Have certificate,No furnishings,4.2,Bà Rịa Vũng Tàu,Phú Mỹ,1.0
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,1.0,1,1,Sale contract,No furnishings,2.7,Hồ Chí Minh,Bình Chánh,0.0
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,3,3,Sale contract,No furnishings,5.5,Long An,Bến Lức,0.0
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,4.4,5.0,1.0,1,1,Sale contract,Basic,4.61,Hồ Chí Minh,Quận 8,0.0
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,4.4,5.0,3.0,4,4,Have certificate,Basic,3.75,Hồ Chí Minh,Gò Vấp,1.0
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,4.4,5.0,3.0,4,4,Have certificate,Full,4.3,Hồ Chí Minh,Tân Bình,1.0
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,4.4,5.0,3.0,3,2,Have certificate,Basic,4.05,Hồ Chí Minh,Phú Nhuận,0.0
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.82,2.5,5.0,6,5,Have certificate,Full,6.5,Hà Nội,Long Biên,1.0
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151.0,4.0,6.0,2.0,4,3,Have certificate,Full,3.2,Long An,Cần Giuộc,0.0
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6.0,4.0,4,5,Have certificate,No furnishings,9.2,Hồ Chí Minh,Bình Thạnh,1.0
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,5.0,12.0,3.0,4,4,Sale contract,Full,9.55,Hồ Chí Minh,Quận 9,1.0
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,3.0,1,1,Sale contract,No furnishings,6.8,Hồ Chí Minh,Tân Bình,0.0
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5.0,3.0,4,3,Have certificate,Basic,4.29,Hồ Chí Minh,Bình Thạnh,1.0
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,4.4,5.0,2.0,3,3,Sale contract,No furnishings,4.0,Hồ Chí Minh,Thủ Đức,0.0
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,5.0,5,6,Sale contract,No furnishings,6.5,Hồ Chí Minh,Bình Tân,1.0
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.0,3.0,2.0,5.0,3,4,Have certificate,Full,4.48,Hà Nội,Hoàng Mai,1.0
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,4.2,6.0,4.0,3,4,Have certificate,Full,6.78,Hồ Chí Minh,Phú Nhuận,1.0
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,3.5,5.0,3.0,2,4,Have certificate,No furnishings,6.5,Hồ Chí Minh,Quận 6,1.0
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,4.4,2.0,4.0,3,4,Have certificate,Basic,6.2,Hồ Chí Minh,Quận 3,1.0
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,5.0,2.0,2,2,Sale contract,No furnishings,4.2,Hồ Chí Minh,Quận 10,0.0
"Đường Lê Trọng Tấn, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",78.7,4.0,6.0,5.0,4,5,Have certificate,No furnishings,5.5,Hồ Chí Minh,Bình Tân,1.0
"Đường 17, Phường Tân Hiệp, Tân Uyên, Bình Dương",67.5,4.4,5.0,1.0,1,1,Sale contract,No furnishings,2.18,Bình Dương,Tân Uyên,0.0
"Đường Trương Vĩnh Ký, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4.0,5.0,2.0,4,4,Have certificate,Full,6.7,Hồ Chí Minh,Tân Phú,1.0
"Đường Đê Mới, Xã Phụng Châu, Chương Mỹ, Hà Nội",60.0,4.0,3.0,4.0,4,3,Have certificate,Basic,2.65,Hà Nội,Chương Mỹ,1.0
"Phố Lò Đúc, Phường Đống Mác, Hai Bà Trưng, Hà Nội",36.0,4.0,3.0,5.0,4,4,Have certificate,Basic,6.0,Hà Nội,Hai Bà Trưng,1.0
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",78.0,5.0,2.0,3.0,3,3,Have certificate,Full,5.8,Hà Nội,Thanh Trì,0.0
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",132.0,4.0,8.0,2.0,3,2,Sale contract,No furnishings,7.0,Hồ Chí Minh,Quận 7,0.0
"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Hồ Chí Minh",102.0,5.5,3.0,1.0,2,1,Have certificate,No furnishings,6.8,Hồ Chí Minh,Quận 7,0.0
"Đường Huỳnh Tấn Phát, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",101.0,7.1,2.5,3.0,4,3,Have certificate,No furnishings,6.6,Hồ Chí Minh,Quận 7,1.0
"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh",81.0,8.0,8.0,1.0,1,1,Sale contract,No furnishings,5.8,Hồ Chí Minh,Gò Vấp,0.0
"Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",62.0,4.0,8.0,4.0,6,4,Have certificate,No furnishings,6.9,Hồ Chí Minh,Tân Phú,1.0
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",143.0,5.0,6.0,4.0,4,4,Have certificate,Full,9.3,Hồ Chí Minh,Gò Vấp,1.0
"Phường Thạch Bàn, Long Biên, Hà Nội",33.0,4.5,2.5,5.0,3,4,Have certificate,Full,4.15,Hà Nội,Long Biên,1.0
"Đường Huỳnh Tấn Phát, Phường Phú Mỹ, Quận 7, Hồ Chí Minh",83.6,5.0,3.0,4.0,4,5,Have certificate,No furnishings,8.6,Hồ Chí Minh,Quận 7,1.0
"Số 7H/15/351, Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội",56.0,4.8,3.0,6.0,4,4,Have certificate,No furnishings,5.3,Hà Nội,Tây Hồ,1.0
"Ngõ 18, Đường Ngô Quyền, Phường Quang Trung, Hà Đông, Hà Nội",55.0,4.0,5.0,5.0,6,5,Have certificate,Full,8.3,Hà Nội,Hà Đông,1.0
"Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",65.0,4.0,8.0,4.0,4,5,Sale contract,No furnishings,4.2,Hồ Chí Minh,Quận 12,1.0
"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",60.0,3.5,5.0,4.0,4,2,Have certificate,No furnishings,4.3,Hà Nội,Hoàng Mai,1.0
"Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",60.0,4.0,2.0,3.0,3,3,Have certificate,No furnishings,4.7,Hà Nội,Thanh Trì,0.0
"Đường Cổ Linh, Phường Thạch Bàn, Long Biên, Hà Nội",70.0,4.8,3.0,5.0,5,4,Sale contract,No furnishings,6.9,Hà Nội,Long Biên,1.0
"Đường An Dương Vương, Phường 10, Quận 6, Hồ Chí Minh",66.0,4.0,12.0,4.0,5,3,Have certificate,No furnishings,8.95,Hồ Chí Minh,Quận 6,1.0
"Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",74.0,4.0,4.0,2.0,4,3,Have certificate,Full,6.83,Hồ Chí Minh,Tân Phú,1.0
"Hẻm 701, Phố Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,4.4,5.0,2.0,2,2,Have certificate,No furnishings,4.4,Hồ Chí Minh,Quận 7,0.0
"Phường Thạch Bàn, Long Biên, Hà Nội",70.0,5.1,3.0,4.5,4,4,Have certificate,Basic,6.8,Hà Nội,Long Biên,1.0
"Đường Phố Trạm, Phường Thạch Bàn, Long Biên, Hà Nội",48.0,4.4,2.5,4.0,5,1,Have certificate,Basic,6.4,Hà Nội,Long Biên,1.0
"Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",56.1,4.2,5.0,4.0,4,3,Have certificate,No furnishings,6.3,Hồ Chí Minh,Thủ Đức,1.0
"Đường Trương Định, Phường Tương Mai, Hoàng Mai, Hà Nội",40.0,3.8,2.0,5.0,3,4,Sale contract,No furnishings,7.48,Hà Nội,Hoàng Mai,1.0
"Xã Đông La, Hoài Đức, Hà Nội",36.5,3.6,4.0,6.0,3,4,Have certificate,Basic,4.1,Hà Nội,Hoài Đức,1.0
"Phường Thạch Bàn, Long Biên, Hà Nội",36.0,4.75,3.0,4.0,3,4,Have certificate,No furnishings,7.49,Hà Nội,Long Biên,1.0
"Đường Trương Phước Phan, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,5.0,4,5,Have certificate,Basic,6.7,Hồ Chí Minh,Bình Tân,1.0
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,3,2,Have certificate,No furnishings,3.2,Long An,Bến Lức,0.0
"168/86// Đường Bình Trị Đông, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",96.0,5.5,5.0,2.0,5,5,Have certificate,Full,8.5,Hồ Chí Minh,Bình Tân,1.0
"Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",56.0,3.85,2.8,4.0,4,5,Have certificate,Full,8.5,Hà Nội,Thanh Xuân,1.0
"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",116.8,4.0,3.0,5.0,3,2,Have certificate,No furnishings,7.3,Hà Nội,Bắc Từ Liêm,1.0
"Đường Mã Lò, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",64.0,4.0,6.0,5.0,6,6,Have certificate,Full,5.98,Hồ Chí Minh,Bình Tân,1.0
"Đường Bùi Tá Hán, Phường  Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng",65.0,5.5,7.0,3.0,3,3,Have certificate,Full,4.7,Đà Nẵng,Ngũ Hành Sơn,0.0
"Đường Gò Dầu, Phường Tân Thành, Tân Phú, Hồ Chí Minh",50.0,4.4,5.0,4.0,4,4,Sale contract,No furnishings,7.0,Hồ Chí Minh,Tân Phú,1.0
"Đường Cầu Giấy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",70.0,6.6,3.0,5.0,4,4,Sale contract,No furnishings,9.6,Hà Nội,Cầu Giấy,1.0
"Five Star Kim Giang, Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",55.0,5.0,3.0,5.0,4,5,Have certificate,Full,6.8,Hà Nội,Thanh Xuân,1.0
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",37.0,4.0,3.0,6.0,3,3,Have certificate,Full,5.6,Hà Nội,Long Biên,1.0
"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",45.0,3.5,2.0,4.0,4,3,Have certificate,Basic,4.95,Hà Nội,Long Biên,1.0
"Phường Bồ Đề, Quận Long Biên, Hà Nội",45.0,4.4,2.0,5.0,3,4,Have certificate,Full,5.7,Hà Nội,Long Biên,1.0
"Đường Mai Hiên, Xã Mai Lâm, Đông Anh, Hà Nội",46.5,5.0,5.0,3.0,3,1,Sale contract,No furnishings,2.8,Hà Nội,Đông Anh,0.0
"Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",68.0,4.0,5.0,1.0,3,3,Have certificate,No furnishings,2.8,Hồ Chí Minh,Quận 12,0.0
"Đường 826C, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh",40.0,4.4,5.0,2.0,2,2,Have certificate,No furnishings,1.38,Hồ Chí Minh,Nhà Bè,0.0
"Dự án The Larita, Xã Mỹ Yên, Bến Lức, Long An",80.0,5.0,12.0,3.0,4,4,Have certificate,Full,1.5,Long An,Bến Lức,0.0
"Phố Đại La, Phường Đồng Tâm, Hai Bà Trưng, Hà Nội",32.0,4.0,6.0,5.0,3,4,Have certificate,Full,5.7,Hà Nội,Hai Bà Trưng,1.0
"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh",75.0,8.0,3.0,1.0,3,1,Have certificate,Full,2.35,Hồ Chí Minh,Hóc Môn,0.0
"Đường Phạm Hùng, Phường 9, Quận 8, Hồ Chí Minh",86.0,4.0,3.0,2.0,8,2,Sale contract,No furnishings,7.6,Hồ Chí Minh,Quận 8,1.0
"Dự án The Pearl Riverside, Bến Lức, Long An",70.0,4.4,5.0,1.0,4,4,Have certificate,No furnishings,2.7,Long An,Bến Lức,0.0
"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Thanh Khê, Đà Nẵng",41.8,4.4,2.0,3.0,3,2,Sale contract,No furnishings,2.85,Đà Nẵng,Thanh Khê,0.0
"Đường Lê Duẩn, Phường Tân Chính, Thanh Khê, Đà Nẵng",48.6,4.35,3.0,3.0,2,2,Sale contract,No furnishings,2.95,Đà Nẵng,Thanh Khê,0.0
"Đường Bình An 7, Phường Hòa Cường Bắc, Hải Châu, Đà Nẵng",56.0,5.0,7.0,3.0,3,3,Sale contract,No furnishings,4.65,Đà Nẵng,Hải Châu,0.0
"Phố Tôn Đức Thắng, Phường Hàng Bột, Đống Đa, Hà Nội",42.0,5.6,3.0,5.0,3,4,Have certificate,Basic,8.5,Hà Nội,Đống Đa,1.0
"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh",53.0,4.074999999999999,5.0,2.0,4,3,Have certificate,No furnishings,4.35,Hồ Chí Minh,Gò Vấp,0.0
"Phố Trần Cung, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",40.0,4.25,3.0,5.0,4,4,Have certificate,Full,6.3,Hà Nội,Bắc Từ Liêm,1.0
"Dự án KDC Bình Hưng, Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",72.0,4.4,10.0,3.0,4,4,Have certificate,No furnishings,8.35,Hồ Chí Minh,Bình Chánh,1.0
"Đường Lê Đình Cẩn, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",40.0,3.5,6.0,1.0,2,2,Have certificate,Full,2.35,Hồ Chí Minh,Bình Tân,0.0
"Đường Lạc Long Quân, Phường 8, Tân Bình, Hồ Chí Minh",20.0,3.5,4.0,3.0,2,2,Have certificate,Full,2.8,Hồ Chí Minh,Tân Bình,0.0
"Ngõ 271, Đường Bùi Xương Trạch, Phường Khương Đình, Thanh Xuân, Hà Nội",91.0,5.0,5.0,1.0,1,1,Sale contract,No furnishings,3.5,Hà Nội,Thanh Xuân,0.0
"Đường Lạc Thị, Xã Ngọc Hồi, Thanh Trì, Hà Nội",45.0,4.0,5.0,5.0,5,4,Sale contract,No furnishings,4.5,Hà Nội,Thanh Trì,1.0
"Đường 7, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",52.0,4.5,8.0,4.0,4,3,Have certificate,Basic,7.2,Hồ Chí Minh,Thủ Đức,1.0
"Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,4.0,4.0,3,4,Have certificate,Full,2.95,Hà Nội,Hà Đông,1.0
"Đường Lê Thạch, Phường Hòa Phát, Cẩm Lệ, Đà Nẵng",112.5,5.0,7.5,3.0,5,3,Have certificate,Full,4.9,Đà Nẵng,Cẩm Lệ,1.0
"Xã Phụng Châu, Chương Mỹ, Hà Nội",34.0,4.25,3.0,3.0,3,3,Have certificate,Basic,2.1,Hà Nội,Chương Mỹ,0.0
"Đường Trịnh Như Khuê, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh",98.4,5.5,12.0,1.0,3,2,Have certificate,Full,1.19,Hồ Chí Minh,Bình Chánh,0.0
"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",26.4,4.0,5.0,3.0,2,1,Sale contract,No furnishings,3.85,Hồ Chí Minh,Quận 1,0.0
"Dự án Khu đô thị Xuân Hưng, Đường CSEDP, Phường Quảng Thắng, Thanh Hóa, Thanh Hóa",75.0,5.0,7.5,4.0,1,1,Have certificate,No furnishings,4.35,Thanh Hóa,Thanh Hóa,0.0
"551/263, Đường Lê Văn Khương, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",60.0,5.0,9.0,3.0,4,5,Have certificate,No furnishings,5.6,Hồ Chí Minh,Quận 12,1.0
"Đường Lê Văn Chí, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",51.0,4.2,12.0,2.0,3,4,Have certificate,Basic,6.0,Hồ Chí Minh,Thủ Đức,0.0
"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",35.0,3.6,2.0,3.0,3,4,Have certificate,No furnishings,5.65,Hà Nội,Hà Đông,1.0
"Xã Đông La, Hoài Đức, Hà Nội",40.0,3.7,4.0,6.0,4,4,Have certificate,Basic,3.25,Hà Nội,Hoài Đức,1.0
"Dự án PiCity Sky Park, Đường Bình Đường, Phường An Bình, Dĩ An, Bình Dương",120.0,4.4,5.0,2.0,4,2,Have certificate,Basic,7.9,Bình Dương,Dĩ An,0.0
"Dự án Cozy House Bình Dương, Đường Bình Chuẩn 36, Phường Bình Chuẩn, Thuận An, Bình Dương",60.0,6.0,5.0,3.0,3,2,Have certificate,Basic,2.95,Bình Dương,Thuận An,0.0
"Đường Quốc Lộ 13, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",60.0,4.5,6.0,4.0,4,4,Have certificate,Basic,6.5,Hồ Chí Minh,Thủ Đức,1.0
"Xã Đông La, Huyện Hoài Đức, Hà Nội",40.0,3.75,3.0,4.0,4,4,Have certificate,Basic,2.5,Hà Nội,Hoài Đức,1.0
"Đường Tỉnh Lộ 422B, Xã Vân Canh, Hoài Đức, Hà Nội",30.0,3.4,4.0,5.0,3,4,Have certificate,Full,4.1,Hà Nội,Hoài Đức,1.0
"Đường Nguyễn Ảnh Thủ, Phường Tân Chánh Hiệp, Quận 12, Hồ Chí Minh",110.0,4.4,7.0,2.0,2,2,Have certificate,No furnishings,5.0,Hồ Chí Minh,Quận 12,0.0
"22/30, Đường 21, Phường 8, Gò Vấp, Hồ Chí Minh",54.0,4.4,5.0,4.0,4,4,Sale contract,No furnishings,5.7,Hồ Chí Minh,Gò Vấp,1.0
"Xã Phụng Châu, Huyện Chương Mỹ, Hà Nội",40.0,3.3,3.0,4.0,4,4,Have certificate,Basic,1.95,Hà Nội,Chương Mỹ,1.0
"Đường Hồ Văn Long, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh",58.3,4.0,12.0,3.0,4,5,Have certificate,Full,5.5,Hồ Chí Minh,Bình Tân,1.0
"86, Đường Trường Chinh, Phường 12, Tân Bình, Hồ Chí Minh",53.0,3.6,5.0,4.0,3,4,Have certificate,Basic,6.5,Hồ Chí Minh,Tân Bình,1.0
"Phường 7, Quận 8, Hồ Chí Minh",101.0,9.0,12.0,1.0,4,4,Sale contract,No furnishings,4.8,Hồ Chí Minh,Quận 8,0.0
"Hẻm 47/, Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",20.0,4.4,5.0,2.0,2,2,Have certificate,Full,3.45,Hồ Chí Minh,Bình Thạnh,0.0
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",72.0,4.0,4.0,5.0,4,4,Have certificate,No furnishings,9.5,Hồ Chí Minh,Gò Vấp,1.0
"Dự án KĐT Việt Hàn, Đường Phạm Văn Đồng, Xã Hồng Tiến, Phổ Yên, Thái Nguyên.",100.0,5.0,5.0,1.0,1,1,Have certificate,No furnishings,3.3,Thái Nguyên,Phổ Yên,0.0
"Đường 16, Xã Long Điền, Long Điền, Bà Rịa Vũng Tàu",65.0,6.0,4.0,1.0,2,1,Have certificate,Basic,1.65,Bà Rịa Vũng Tàu,Long Điền,0.0
"Đường Nguyễn Văn Khối, Phường 9, Gò Vấp, Hồ Chí Minh",48.0,5.0,4.0,4.0,3,4,Have certificate,Full,6.2,Hồ Chí Minh,Gò Vấp,1.0
